CVE_ENT,nom_estado,pobreza_pct_2020
1,Aguascalientes,27.5
2,Baja California,23.1
3,Baja California Sur,27.4
4,Campeche,48.5
5,Coahuila de Zaragoza,23.6
6,Colima,27.8
7,Chiapas,74.4
8,Chihuahua,25.5
9,Ciudad de México,34.2
10,Durango,37.6
11,Guanajuato,44.5
12,Guerrero,65.6
13,Hidalgo,45.7
14,Jalisco,32.6
15,México,50.8
16,Michoacán de Ocampo,45.6
17,Morelos,52.6
18,Nayarit,30.5
19,Nuevo León,19.7
20,Oaxaca,63.8
21,Puebla,63.4
22,Querétaro,32.9
23,Quintana Roo,44.8
24,San Luis Potosí,44.6
25,Sinaloa,28.3
26,Sonora,31.2
27,Tabasco,53.0
28,Tamaulipas,35.8
29,Tlaxcala,58.3
30,Veracruz de Ignacio de la Llave,60.8
31,Yucatán,47.8
32,Zacatecas,43.8
