CVE_ENT,NOM_ENT,nombre,internet_pct,brecha,personas_sin_internet,pobreza_pct,pob_extrema_pct,pob_extrema_abs,titulados_pct,abandono_pct,alumnos_abandono_abs,lat,lon,nodo,pob_total
1,Aguascalientes,Aguascalientes,82.4,17.6,241691,27.5,2.7,36827.0,11.18,8.75,5287,22.0,-102.3,0,1373242.0
2,Baja California,Baja California,81.6,18.4,688614,23.1,1.7,64398.0,26.56,6.66,10682,30.8,-115.6,0,3742465.0
3,Baja California Sur,B.C. Sur,80.4,19.6,173551,27.4,3.5,30980.0,4.33,15.72,6044,25.1,-111.5,0,885465.0
4,Campeche,Campeche,71.5,28.5,278957,48.5,11.9,116125.0,12.28,9.03,3496,19.1,-90.4,0,978797.0
5,Coahuila de Zaragoza,Coahuila,83.1,16.9,530492,23.6,2.3,72173.0,16.35,4.68,6388,27.2,-102.1,0,3139003.0
6,Colima,Colima,77.1,22.9,179998,27.8,2.7,21303.0,10.37,9.21,2996,19.1,-104.0,0,786016.0
7,Chiapas,Chiapas,50.7,49.3,2754201,74.4,28.3,1580754.0,5.28,8.23,17297,16.7,-92.9,1,5586615.0
8,Chihuahua,Chihuahua,77.6,22.4,871834,25.5,3.2,123222.0,17.45,7.68,12217,28.6,-106.1,0,3892117.0
9,Ciudad de MÃ©xico,Ciudad de MÃ©xico,84.4,15.6,1360526,34.2,4.7,412242.0,5.61,9.79,62296,19.4,-99.1,0,8721320.0
10,Durango,Durango,63.9,36.1,668667,37.6,4.4,80981.0,4.76,10.81,8680,24.5,-104.7,0,1852264.0
11,Guanajuato,Guanajuato,75.3,24.7,1493152,44.5,5.5,332733.0,25.72,11.54,29486,20.9,-101.3,0,6045151.0
12,Guerrero,Guerrero,58.9,41.1,1504934,65.6,26.9,984457.0,6.04,5.47,7890,17.6,-99.5,1,3661640.0
13,Hidalgo,Hidalgo,70.2,29.8,910220,45.7,7.2,221169.0,19.05,8.54,12535,20.5,-98.9,0,3054428.0
14,Jalisco,Jalisco,80.9,19.1,1601945,32.6,3.5,291537.0,9.85,6.59,22727,20.7,-103.4,0,8387145.0
15,MÃ©xico,MÃ©xico,76.7,23.3,4225709,50.8,8.3,1501956.0,20.08,10.35,71364,19.4,-99.7,0,18136090.0
16,MichoacÃ¡n de Ocampo,MichoacÃ¡n de Ocampo,67.7,32.3,1533844,45.6,8.4,399265.0,7.15,9.32,16083,19.6,-101.7,0,4748742.0
17,Morelos,Morelos,74.4,25.6,521397,52.6,9.6,195187.0,20.56,13.22,11004,18.7,-99.0,0,2036707.0
18,Nayarit,Nayarit,66.9,33.1,443681,30.5,4.1,54849.0,3.96,11.33,6505,22.0,-105.0,0,1340427.0
19,Nuevo LeÃ³n,Nuevo LeÃ³n,83.7,16.3,890045,19.7,1.5,79576.0,12.79,7.6,19375,25.6,-99.6,0,5460396.0
20,Oaxaca,Oaxaca,55.5,44.5,1839647,63.8,24.3,1003615.0,4.24,10.7,16200,17.1,-96.7,1,4134039.0
21,Puebla,Puebla,61.8,38.2,2481939,63.4,13.8,897666.0,6.87,8.0,23126,18.9,-97.7,0,6497223.0
22,QuerÃ©taro,QuerÃ©taro,79.5,20.5,441939,32.9,3.7,79778.0,11.11,11.85,11438,20.6,-100.0,0,2155802.0
23,Quintana Roo,Quintana Roo,82.3,17.7,320612,44.8,9.5,172482.0,27.84,9.86,7430,19.2,-88.5,0,1811370.0
24,San Luis PotosÃ­,San Luis PotosÃ­,65.5,34.5,991852,44.6,9.5,273056.0,9.77,10.64,11521,22.3,-101.0,0,2874932.0
25,Sinaloa,Sinaloa,78.9,21.1,656623,28.3,3.0,93426.0,6.44,4.79,7253,24.8,-107.4,0,3111958.0
26,Sonora,Sonora,84.4,15.6,489306,31.2,4.4,136831.0,18.67,11.12,14528,29.3,-110.7,0,3136574.0
27,Tabasco,Tabasco,71.7,28.3,708894,53.0,14.0,351295.0,11.52,4.89,5806,17.8,-92.7,0,2504927.0
28,Tamaulipas,Tamaulipas,74.9,25.1,940291,35.8,3.8,142525.0,22.9,11.39,16469,24.3,-98.8,0,3746179.0
29,Tlaxcala,Tlaxcala,61.5,38.5,526677,58.3,8.8,121028.0,19.7,8.35,5148,19.3,-98.2,0,1367993.0
30,Veracruz de Ignacio de la Llave,Veracruz,64.0,36.0,3003786,60.8,16.0,1337711.0,8.35,6.7,21086,19.8,-96.9,1,8343850.0
31,YucatÃ¡n,YucatÃ¡n,73.9,26.1,589698,47.8,11.4,258120.0,7.39,13.06,12800,20.7,-89.1,0,2259381.0
32,Zacatecas,Zacatecas,78.2,21.8,356862,43.8,3.8,62102.0,4.68,11.91,7937,23.0,-102.5,0,1636983.0
